Poczatek;;;;;;;;;;;;;;;;;;;;;;;;
Wartosc kroku;Tworzenie listy z niepowtarzajacymi sie elementami;;;;;;Srednia;Wyszukiwanie elementów listy jeden po drugim;;;;;;;Srednia;Usuwanie listy jednokierunkowej;;;;;;;Srednia;
0;0;0;0;0;0; X;0; X;0;0;0;0;0; X;0; X;0;0;0;0;0; X;0; X
1000;0,022;0,018;0,022;0,02;0,024; X;0,021; X;0,021;0,018;0,023;0,021;0,021; X;0,021; X;0,002;0,002;0,002;0,002;0,002; X;0,002; X
2000;0,045;0,042;0,044;0,043;0,047; X;0,044; X;0,045;0,042;0,042;0,043;0,046; X;0,044; X;0,004;0,003;0,004;0,003;0,004; X;0,004; X
3000;0,077;0,081;0,071;0,07;0,07; X;0,074; X;0,078;0,076;0,07;0,069;0,07; X;0,073; X;0,005;0,006;0,006;0,005;0,005; X;0,005; X
4000;0,102;0,094;0,104;0,104;0,097; X;0,1; X;0,103;0,094;0,103;0,106;0,096; X;0,1; X;0,007;0,01;0,007;0,006;0,007; X;0,007; X
5000;0,126;0,123;0,122;0,128;0,126; X;0,125; X;0,126;0,125;0,123;0,125;0,126; X;0,125; X;0,009;0,009;0,008;0,008;0,009; X;0,009; X
6000;0,153;0,153;0,161;0,144;0,164; X;0,155; X;0,153;0,16;0,158;0,148;0,162; X;0,156; X;0,011;0,01;0,011;0,01;0,01; X;0,01; X
7000;0,182;0,201;0,191;0,195;0,182; X;0,19; X;0,181;0,19;0,189;0,189;0,174; X;0,185; X;0,012;0,013;0,012;0,011;0,013; X;0,012; X
8000;0,213;0,219;0,213;0,219;0,228; X;0,218; X;0,218;0,224;0,215;0,213;0,226; X;0,219; X;0,014;0,015;0,014;0,015;0,013; X;0,014; X
9000;0,247;0,251;0,254;0,246;0,251; X;0,25; X;0,248;0,246;0,253;0,246;0,233; X;0,245; X;0,016;0,015;0,016;0,017;0,016; X;0,016; X
10000;0,271;0,271;0,274;0,307;0,263; X;0,277; X;0,269;0,258;0,283;0,303;0,262; X;0,275; X;0,017;0,018;0,018;0,018;0,019; X;0,018; X
11000;0,331;0,3;0,331;0,314;0,316; X;0,318; X;0,331;0,302;0,316;0,316;0,312; X;0,315; X;0,019;0,02;0,02;0,02;0,019; X;0,02; X
12000;0,338;0,353;0,333;0,331;0,359; X;0,343; X;0,336;0,344;0,325;0,335;0,352; X;0,339; X;0,022;0,02;0,021;0,023;0,021; X;0,021; X
13000;0,355;0,384;0,363;0,367;0,36; X;0,366; X;0,341;0,382;0,361;0,372;0,353; X;0,362; X;0,022;0,023;0,022;0,022;0,023; X;0,022; X
14000;0,414;0,395;0,409;0,399;0,386; X;0,401; X;0,43;0,387;0,405;0,404;0,387; X;0,403; X;0,024;0,024;0,025;0,024;0,024; X;0,024; X
15000;0,44;0,461;0,426;0,444;0,426; X;0,44; X;0,428;0,42;0,426;0,441;0,42; X;0,427; X;0,027;0,026;0,027;0,03;0,026; X;0,027; X
