Poczatek
Losowe
Wartosc kroku,Czas wykonywania algorytmu
0,0.0
1000,0.11410260200500488
2000,0.43739748001098633
3000,1.054960012435913
4000,1.8626947402954102
5000,2.8946352005004883
6000,3.96760892868042
7000,5.727210283279419
8000,7.510832786560059
9000,9.242245435714722
10000,11.298745155334473
11000,13.719129085540771
12000,16.681722402572632
13000,19.5349063873291
14000,22.220520973205566
15000,26.237158060073853
0,0.0
1000,0.10709691047668457
2000,0.46370577812194824
3000,1.035485029220581
4000,1.870187520980835
5000,2.920656681060791
6000,4.197340726852417
7000,5.700027942657471
8000,7.2015156745910645
9000,9.496407508850098
10000,11.695315837860107
11000,13.715759992599487
12000,16.25092339515686
13000,19.910061597824097
14000,23.06510281562805
15000,25.77752423286438
0,0.0
1000,0.10809779167175293
2000,0.46242189407348633
3000,1.0269427299499512
4000,1.8416752815246582
5000,2.952930212020874
6000,4.149980306625366
7000,5.726651191711426
8000,7.151248216629028
9000,9.543272972106934
10000,11.764078378677368
11000,13.66945195198059
12000,16.256343364715576
13000,19.633951425552368
14000,23.111061334609985
15000,25.61978268623352
0,0.0
1000,0.11910820007324219
2000,0.46942782402038574
3000,1.053302526473999
4000,1.791642427444458
5000,2.963695764541626
6000,4.237398624420166
7000,5.813916444778442
8000,7.253234148025513
9000,9.415069580078125
10000,11.403889656066895
11000,13.709152460098267
12000,16.260663509368896
13000,19.865651845932007
14000,23.227543592453003
15000,25.454835176467896
0,0.0
1000,0.11510491371154785
2000,0.4524111747741699
3000,1.0504615306854248
4000,1.861823320388794
5000,2.815561294555664
6000,4.25186824798584
7000,5.7464823722839355
8000,7.563067436218262
9000,9.457268476486206
10000,11.394438982009888
11000,14.13797926902771
12000,16.756797790527344
13000,19.74614906311035
14000,23.34953999519348
15000,26.54054832458496
Ponownie posortowany/rosn¹ce
Wartosc kroku,Czas wykonywania algorytmu
0,0.0
1000,0.0010008811950683594
2000,0.0010006427764892578
3000,0.0010008811950683594
4000,0.0020020008087158203
5000,0.0020020008087158203
6000,0.003002643585205078
7000,0.0030024051666259766
8000,0.005003452301025391
9000,0.005003452301025391
10000,0.0050048828125
11000,0.006005287170410156
12000,0.006005525588989258
13000,0.007005929946899414
14000,0.007006406784057617
15000,0.007006168365478516
0,0.0
1000,0.0010008811950683594
2000,0.0010008811950683594
3000,0.0010013580322265625
4000,0.0020017623901367188
5000,0.003002643585205078
6000,0.0030028820037841797
7000,0.004003286361694336
8000,0.004004240036010742
9000,0.005004405975341797
10000,0.005004405975341797
11000,0.0050046443939208984
12000,0.006004810333251953
13000,0.006006479263305664
14000,0.00700688362121582
15000,0.008007526397705078
0,0.0
1000,0.0010001659393310547
2000,0.0010008811950683594
3000,0.002001523971557617
4000,0.0020008087158203125
5000,0.0030028820037841797
6000,0.0030028820037841797
7000,0.003002643585205078
8000,0.0040035247802734375
9000,0.0050048828125
10000,0.0050048828125
11000,0.0060045719146728516
12000,0.006005525588989258
13000,0.007006406784057617
14000,0.007006168365478516
15000,0.008006811141967773
0,0.0
1000,0.0
2000,0.0010004043579101562
3000,0.0020017623901367188
4000,0.0020012855529785156
5000,0.0030031204223632812
6000,0.0030024051666259766
7000,0.0040035247802734375
8000,0.004004478454589844
9000,0.005004167556762695
10000,0.005004167556762695
11000,0.006005287170410156
12000,0.006005287170410156
13000,0.0070154666900634766
14000,0.006005525588989258
15000,0.008007049560546875
0,0.0
1000,0.0010008811950683594
2000,0.0010013580322265625
3000,0.002001523971557617
4000,0.0020017623901367188
5000,0.0030024051666259766
6000,0.003002643585205078
7000,0.003994941711425781
8000,0.004003763198852539
9000,0.0050048828125
10000,0.004001140594482422
11000,0.006005764007568359
12000,0.0060045719146728516
13000,0.006005525588989258
14000,0.007006406784057617
15000,0.008007049560546875
Malejace
Wartosc kroku,Czas wykonywania algorytmu
0,0.0
1000,0.21920537948608398
2000,0.9148604869842529
3000,2.055870532989502
4000,3.663635492324829
5000,5.772250413894653
6000,8.28409218788147
7000,11.314869165420532
8000,14.493984937667847
9000,18.784645557403564
10000,23.218772888183594
11000,28.062644958496094
12000,32.70410633087158
13000,38.35192012786865
14000,45.661643266677856
15000,51.12104845046997
0,0.0
1000,0.2202003002166748
2000,0.9068253040313721
3000,2.0548691749572754
4000,3.610797166824341
5000,5.744237661361694
6000,8.298579216003418
7000,11.30304217338562
8000,14.470146656036377
9000,18.71482229232788
10000,23.28451132774353
11000,28.867949962615967
12000,32.67744779586792
13000,38.33974862098694
14000,45.64778208732605
15000,52.38652467727661
0,0.0
1000,0.22020840644836426
2000,0.9108407497406006
3000,2.050865650177002
4000,3.6783993244171143
5000,5.745732307434082
6000,8.299939393997192
7000,11.343449592590332
8000,14.428454875946045
9000,18.274314403533936
10000,23.16375494003296
11000,28.155632495880127
12000,33.5046763420105
13000,39.332579612731934
14000,46.91438341140747
15000,52.90144348144531
0,0.0
1000,0.22321105003356934
2000,0.8998193740844727
3000,2.033313751220703
4000,3.6699986457824707
5000,5.743216276168823
6000,8.149494409561157
7000,11.059911251068115
8000,14.917157411575317
9000,18.319690465927124
10000,22.67211890220642
11000,28.096497297286987
12000,33.47396683692932
13000,38.425384759902954
14000,44.50027942657471
15000,51.04443144798279
0,0.0
1000,0.22120094299316406
2000,0.8958156108856201
3000,2.046140432357788
4000,3.660329580307007
5000,5.783557176589966
6000,8.110129356384277
7000,11.619510173797607
8000,14.448798418045044
9000,18.343130111694336
10000,23.81833028793335
11000,27.282197952270508
12000,32.593568563461304
13000,40.43209457397461
14000,45.41425442695618
15000,52.42027235031128
Stale
Wartosc kroku,Czas wykonywania algorytmu
0,0.0
1000,0.0
2000,0.0010006427764892578
3000,0.001001119613647461
4000,0.002002239227294922
5000,0.0030024051666259766
6000,0.0030035972595214844
7000,0.003002643585205078
8000,0.004003763198852539
9000,0.004003047943115234
10000,0.005004405975341797
11000,0.005005598068237305
12000,0.0060045719146728516
13000,0.006005287170410156
14000,0.007005453109741211
15000,0.007006645202636719
0,0.0
1000,0.0
2000,0.0010006427764892578
3000,0.0010013580322265625
4000,0.0020020008087158203
5000,0.003002166748046875
6000,0.004004240036010742
7000,0.0040035247802734375
8000,0.004003286361694336
9000,0.004003763198852539
10000,0.005005836486816406
11000,0.0050048828125
12000,0.006004810333251953
13000,0.006005525588989258
14000,0.00700688362121582
