Poczatek
Wartosc kroku;Tworzenie listy z niepowtarzajacymi sie elementami;;;;;;Srednia;Wyszukiwanie elementów listy jeden po drugim;;;;;;;Srednia;Usuwanie listy jednokierunkowej;;;;;;;Srednia
0; 0.000; 0.000; 0.000; 0.000; 0.000; X;0.000; X;0.000; 0.000; 0.000; 0.000; 0.000; X;0.000; X;0.000; 0.000; 0.000; 0.000; 0.000; X;0.000; X;
1000; 0.126; 0.118; 0.114; 0.120; 0.118; X;0.119; X;0.119; 0.126; 0.121; 0.117; 0.126; X;0.122; X;0.002; 0.002; 0.002; 0.001; 0.001; X;0.002; X;
2000; 0.462; 0.471; 0.448; 0.463; 0.464; X;0.462; X;0.486; 0.480; 0.482; 0.494; 0.480; X;0.485; X;0.003; 0.003; 0.003; 0.003; 0.003; X;0.003; X;
3000; 1.083; 1.051; 1.026; 1.029; 1.046; X;1.047; X;1.091; 1.118; 1.096; 1.096; 1.110; X;1.102; X;0.005; 0.005; 0.005; 0.004; 0.005; X;0.005; X;
4000; 1.903; 1.847; 1.949; 1.867; 1.850; X;1.883; X;1.949; 1.945; 1.950; 1.946; 1.939; X;1.946; X;0.007; 0.006; 0.007; 0.006; 0.006; X;0.006; X;
5000; 2.896; 2.860; 2.904; 2.878; 2.970; X;2.902; X;3.082; 3.074; 3.097; 3.085; 3.091; X;3.086; X;0.008; 0.007; 0.008; 0.007; 0.007; X;0.007; X;
6000; 4.240; 4.252; 4.177; 4.244; 4.276; X;4.238; X;4.510; 4.487; 4.481; 4.485; 4.477; X;4.488; X;0.010; 0.010; 0.010; 0.010; 0.009; X;0.010; X;
7000; 5.762; 5.828; 5.920; 5.745; 5.873; X;5.826; X;6.145; 6.219; 6.130; 6.172; 6.118; X;6.157; X;0.012; 0.011; 0.011; 0.011; 0.011; X;0.011; X;
8000; 7.609; 7.647; 7.620; 7.699; 7.517; X;7.618; X;8.176; 8.137; 8.141; 8.118; 8.259; X;8.166; X;0.013; 0.013; 0.013; 0.015; 0.012; X;0.013; X;
9000; 9.661; 9.859; 9.684; 9.654; 9.629; X;9.697; X;10.321; 10.418; 10.291; 10.394; 10.259; X;10.337; X;0.014; 0.015; 0.014; 0.017; 0.014; X;0.015; X;
10000; 11.984; 11.870; 11.933; 12.119; 11.925; X;11.966; X;12.816; 12.678; 12.881; 13.054; 12.979; X;12.882; X;0.016; 0.016; 0.016; 0.015; 0.016; X;0.016; X;
11000; 14.528; 14.588; 14.550; 14.419; 14.888; X;14.594; X;15.680; 15.683; 15.565; 16.152; 15.994; X;15.815; X;0.018; 0.018; 0.017; 0.022; 0.018; X;0.019; X;
12000; 17.736; 17.865; 18.976; 17.678; 18.186; X;18.088; X;19.553; 21.898; 20.347; 23.533; 19.563; X;20.979; X;0.026; 0.023; 0.020; 0.019; 0.021; X;0.022; X;
13000; 21.132; 21.262; 21.249; 23.026; 22.089; X;21.751; X;24.057; 23.571; 25.857; 28.222; 24.629; X;25.267; X;0.022; 0.021; 0.021; 0.025; 0.024; X;0.023; X;
14000; 25.411; 25.746; 25.641; 25.801; 26.216; X;25.763; X;27.920; 27.884; 28.755; 29.734; 30.181; X;28.895; X;0.023; 0.025; 0.024; 0.025; 0.025; X;0.024; X;
15000; 29.997; 30.505; 30.108; 30.667; 31.194; X;30.494; X;34.362; 34.664; 34.270; 35.383; 35.395; X;34.815; X;0.026; 0.025; 0.025; 0.026; 0.026; X;0.026; X;
